Avg_Temp_C,Humidity_Pct,Storage_Type,Transit_Days,Remaining_Shelf_Life
29.236203565420873,91.30357298074371,0,5.567991501773,20.12
20.999247474540088,54.44366689744004,0,4.407247576330857,24.32
39.242177333881365,21.543837072185184,1,5.192992019734361,25.42
29.995829151457663,23.499924741021157,1,2.8813519814089963,28.82
31.682099526511077,78.88819710447602,0,2.986002943236558,24.8
43.798212202089616,71.02306539408347,0,0.9228353544043169,28.04
46.466566117599996,92.42240248059196,1,3.005207266509455,28.62
36.299899733478625,82.48961838021233,0,6.410582613512084,19.0
25.763399448000506,69.68917132654865,1,3.2635131841930907,28.79
18.939398773666756,83.17135809462488,1,6.606743120167229,22.68
44.844820512829465,64.84249841083138,1,2.62251499723793,29.8
46.835160730480474,83.34003865086135,0,2.2637687065303234,26.84
42.86212527455788,46.756499502019196,1,4.44572260996345,26.48
22.958008171890075,21.172730505589545,0,5.5195910004282736,20.56
23.961470446025174,20.414158784270178,0,1.7924756265772335,27.12
36.17879924343034,89.47256588850118,1,1.2531488869133431,30.0
43.89310277626781,66.74735951206685,1,1.1201657571876735,30.0
37.9776706985249,64.34733407807954,1,6.266882826746123,23.54
32.16644775485848,28.96956844537263,1,6.017939857729545,23.95
25.68204968283972,23.03251921538235,0,3.2790166193305725,24.86
18.762573802322855,28.091857024497834,0,6.322463371877876,21.35
38.86548259278382,30.449859080440675,0,3.167488999731593,24.12
40.66653415629146,37.159862411871686,1,4.392625532175484,27.25
36.7306214440138,42.17252643782855,0,6.164493836220165,20.59
42.110162306973436,33.992754416452684,1,6.241321682972644,23.64
28.688935142309248,88.01213311593155,0,1.981578556522621,25.99
30.813233658787688,81.351107444187,0,2.4810781780271887,25.6
32.544899140769495,71.93270246677028,1,2.6944986141235816,28.76
46.287291117375574,44.24021990155664,1,4.127663013112718,26.95
25.617462418030343,38.51570471289509,0,3.7321152883005055,24.02
27.026349294503092,41.36303707831007,0,2.2340765927893527,26.36
18.99152198701645,45.880343602001226,0,2.0571522893353205,26.96
22.346846162736693,56.70895702081722,1,4.093805078963632,27.28
29.089633681842134,38.16199537080694,1,2.890590362675146,29.41
36.96917491780738,67.5147283070671,0,5.806807175925996,20.52
33.24596330222156,72.18596050931615,0,4.340804130723572,23.09
38.32693085526847,21.24408716958921,0,5.7617567999081505,20.21
46.21569793468812,49.81790158156417,0,6.588744926788775,19.57
22.125628324379797,45.57997632876939,0,1.8589655347951388,28.0
24.85650065391899,33.12161953219521,1,4.108805275396505,27.62
33.889517350680194,38.13892181753388,1,6.7752257833771585,23.95
23.66121325024138,40.915351444413645,0,5.2187119126565555,22.0
44.913307798577314,86.5314818198838,1,6.270505641946238,23.82
35.42059864309364,47.92120749213073,0,4.812761499202363,23.12
18.15184751538656,32.0606038563124,1,3.656489398310473,28.19
23.277757580320362,21.355652271164065,1,2.6150980380352404,29.43
40.394742153540726,68.72246742854111,0,5.18610950763884,21.8
33.264422305162796,67.72494636394215,1,2.085932681964043,29.43
47.190316642573364,49.482329350007035,1,6.389642120170601,23.0
37.353100860916946,70.16930447473247,0,1.7690794206872893,26.32
39.67356345784516,41.05792718306418,0,5.495601092991008,20.44
44.50482066798777,76.07890804230604,0,6.534070656820215,19.2
30.84552444951943,92.49911142827521,0,6.872155294154297,18.61
23.72733093451038,40.13561426676176,0,1.6017028534596012,27.1
